"gameId","gameDuration","gameVersion","summonerName","summonerLevel","participantId","championName","champExperience","teamPosition","teamId","win","kills","deaths","assists","totalDamageDealtToChampions","totalDamageTaken","g_5","g_6","g_7","g_8","g_9","g_10","g_11","g_12","g_13","g_14","g_15","g_16","g_17","g_18","g_19","g_20","g_21","g_22","g_23","g_24","g_25"
KR_6306333604,521,"13.1.487.9641",Kim 종원,193,1,Garen,2175,TOP,100,False,0,1,0,1409,3070,1354,1596,1718,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",건 요,103,2,Kindred,2584,JUNGLE,100,False,1,4,0,2556,6116,1259,1478,1706,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",첫눈을 빌려,187,3,Ekko,3658,MIDDLE,100,False,1,1,0,2676,4576,1412,1705,1978,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",Kb999,355,4,Kaisa,2480,BOTTOM,100,False,0,0,0,1220,3068,1438,1631,2008,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",구울구울구울구울구울구울구울구울,49,5,Blitzcrank,2292,UTILITY,100,False,0,1,1,1086,4075,1091,1226,1423,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",PorkSick the LOL,376,6,Gragas,4055,TOP,200,True,3,1,0,3182,5506,2556,2849,3531,3675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",부관참시전문,211,7,Jax,2410,JUNGLE,200,True,1,0,0,1021,4710,1455,1917,2134,2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",parowow,111,8,Lucian,4012,MIDDLE,200,True,1,1,1,5301,3295,2003,2486,2799,3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",Rou Lo,32,9,Ezreal,2627,BOTTOM,200,True,1,0,1,2717,1214,1690,2284,2845,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6306333604,521,"13.1.487.9641",와타세 아키라,314,10,Lux,2504,UTILITY,200,True,1,0,1,3972,869,1266,1928,2344,2524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",원조13남자,198,1,Singed,986,TOP,100,True,0,0,0,814,1108,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",E장X인S,86,2,Viego,978,JUNGLE,100,True,2,1,1,661,2757,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",너에겐난,437,3,Zed,943,MIDDLE,100,True,0,1,2,693,1437,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",개까미삼촌,221,4,Jhin,873,BOTTOM,100,True,1,0,2,1335,1271,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",태백산파워슛,305,5,Zac,916,UTILITY,100,True,0,0,1,330,557,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",롤은즐갬,84,6,Illaoi,1492,TOP,200,False,0,0,0,380,685,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",Pablovina,333,7,Kayn,1004,JUNGLE,200,False,0,1,2,704,2890,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",제루디,164,8,Yasuo,1218,MIDDLE,200,False,2,1,0,1912,1211,1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",야호jyj,213,9,Yone,0,"",200,False,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309004980,240,"13.1.489.3737",You can be Ache,360,10,MissFortune,850,UTILITY,200,False,0,1,2,1592,1553,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR_6309025486,2136,"13.1.489.3737",어둠의사신야스오,272,1,TahmKench,17323,TOP,100,True,2,9,14,18359,50617,1447,1612,1898,2097,2347,2546,2864,3101,3433,3645,3840,4410,4862,5081,5699,5864,5986,6268,6790,6946,7259
